,alpha_of_max_abs,beta_of_max_abs,in_scale,in_zeropoint
act_0,[0.3100356161594391],[0.9853548407554626],[1.030486807757841e-05],[-62853.0]
act_1,[0.0],[1.92313125731168],[2.9345549749926454e-05],[-32767.0]
act_2,[0.0],[3.6780445318715915],[5.612421844953141e-05],[-32767.0]
act_3,[6.166173023938929],[5.2513534374900654],[-1.3959465108933734e-05],[408953.0]
