,alpha_of_max_abs,beta_of_max_abs,in_scale,in_zeropoint
act_0,[0.3100356161594391],[0.9853548407554626],[1.030486807757841e-05],[-62853.0]
act_1,[0.0],[1.9233022828923587],[2.9348159472828742e-05],[-32767.0]
act_2,[0.0],[3.678514231097643],[5.6131385709671974e-05],[-32767.0]
act_3,[6.166569243323939],[5.2518912561318665],[-1.3957304409803647e-05],[409050.0]
