,w_scale,b_scale,subq,wq,bq
conv2d_0,[0.000024346427529086298 0.000022670845863318094],[-0.00000000006856637979893605],[-4.913721834e+09  2.033923080e+08],"[[[[-17578. -19662.]]

  [[-20048. -30346.]]

  [[ 20841.  16462.]]]


 [[[ 15578.  26233.]]

  [[ 26635. -11269.]]

  [[  5880.  11514.]]]


 [[[ -4058.  -2438.]]

  [[ 18161. -26497.]]

  [[ 32767.  32767.]]]]",[1.073741823e+09 4.260329070e+08]
conv2d_1,[0.00001696914042421512  0.000015145534622005306 0.000018032175649282513],[-0.000000000000000000023095315077051847],[ 1.679570886e+09  3.066663530e+08 -2.625423108e+09],"[[[[ -8541.  10982. -19480.]
   [ 17766. -11422.  10350.]]

  [[ -7531.  -1152. -14124.]
   [   759. -10115.  17319.]]

  [[  2679.   5024.   8096.]
   [-13251. -13634.  24589.]]]


 [[[  -156.  23438.  11333.]
   [ 20081.  14296.   8408.]]

  [[-32767. -15549.  32767.]
   [-16455.  10999.  22505.]]

  [[   176.   4834.  22323.]
   [ -5584.   3145.  -2994.]]]


 [[[  9553.  19000.  -4787.]
   [  2458.  -6025.  31028.]]

  [[ 11110.   6989. -20139.]
   [-22453. -22332.  -8874.]]

  [[ -7740.   4930. -27351.]
   [ -1362. -32767. -10845.]]]]",[-1.073741823e+09 -4.052799010e+08  8.687318620e+08]
dense,[0.000031741738598132626],[-0.00000000022122588896290423],"[ 3.497287444e+09  4.064713583e+09 -1.338859620e+08  1.558300219e+09
  1.409374204e+09  1.126529460e+09  3.421530140e+09  1.609744409e+09
  1.779346401e+09  1.489784422e+09]","[[-12977.   1496.  16709.   1153. -13357.  -1674. -16185.  -9644. -22026.
   -9580.]
 [   704. -13174.   1987.   9057.  -2363.  -4401.  -5636.  -6397.   8782.
    6477.]
 [ -8432.  -1546.  18705.  -2702. -15390. -11488.  -2168.  10469. -16807.
  -15113.]
 [-23829.  22023.  -3868. -17840. -17791.   8747.  16212. -15746.  -2468.
   -3672.]
 [-24753. -18124.  -8538.  10300.   4300.  11028.   8551. -14686.  21145.
    5739.]
 [   160.   9356.  24152.  17114.  -7857.  -9618.   2574. -14863.  16167.
   -8706.]
 [   719. -10831.   2320.  -4100.   3628. -18890.  17446.   9316. -10842.
   -1659.]
 [ 31053. -17054.   4158.  -2386.  -9236. -14127.  -9928.   1320.   1873.
   -6802.]
 [  3353. -12558.  -2215. -18131.   3088.  15484. -16503.  -3941.   9924.
  -10111.]
 [-15451. -15721. -12813.   5201. -12461.  12017. -17949.   5929.   2525.
   -3738.]
 [ -2283.  -6432.  -2026.  -3429.  -5789.  -7031.   8453.  14760.  -3162.
    -150.]
 [ -3276.  -4666. -15814. -16870.  17148. -17907.  14947. -17421.  -9439.
   22552.]
 [-26343.  18312. -12237.  -7959. -12044. -11308. -13063.  -4236.   4514.
   -3526.]
 [  8821. -14240.  -3994.   2125. -11388.   7346.  -9607. -20415.   -242.
  -12299.]
 [-20124.   3371.   4428.   7569.  12416.  -9061.  -6804.   3788. -11864.
   -8136.]
 [  9941.   -944.  13275.   4219.   6830.   5101.  -8282.   5528.  -6816.
    6983.]
 [  6562. -20453.  11236.  -7341.   5808. -14340.   6458. -13312.   6494.
   -4304.]
 [ -4651. -14415.   3834.    -68.   6750.   -847.    -59. -18703. -12209.
  -18638.]
 [-17967.   -816.   5272.     -8.  12204.  10665.  -5266.    919.  -7830.
   11796.]
 [ 11235. -13786.   4319.  -7327.  -5581.   7955.   6016.  -1530. -14656.
     881.]
 [-11554.  18308.  -4467.  10146.   1827.   4728.   5128.  21294.   6022.
    9394.]
 [-22327.  12115.  -3773.  -2011.  17634. -14025. -16469.   7908.  -1275.
  -12386.]
 [ -2417.  -5923.  10696.  -6730.  -6202. -12803.  -3484.   4657.  13723.
    9709.]
 [ 10534. -27753. -32767.  11341.  -3662.   7505. -30572.  10845. -11094.
    8743.]
 [  3110.  -6250. -23090.  -5754.  -5231.  14413.   3130.   7475.  -5121.
   11317.]
 [  4764.  -2362.  -3986.     16.   5524.  13194.  -7277.   -795. -11524.
   -8409.]
 [ -1304.  -1982.  12583. -23142. -11817.  -5043. -24083. -11646.   1903.
  -11828.]]","[-4.938967680e+08 -4.408510090e+08 -7.069832600e+08  6.909347550e+08
 -3.164532150e+08 -3.670208710e+08 -5.019962760e+08 -5.039463390e+08
  1.073741823e+09  5.752537890e+08]"
